Date,Calories Burned,Steps,Distance,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
8/1/2020,2031,6286,2.75,1116,324,0,0,898
8/2/2020,2265,6458,2.4,1114,274,9,43,1147
8/3/2020,1703,3673,1.57,1275,165,0,0,449
8/4/2020,1901,6329,2.77,1190,250,0,0,724
8/5/2020,1695,3434,1.43,1303,137,0,0,409
8/6/2020,1747,3707,1.62,1267,173,0,0,491
8/7/2020,1953,7155,3.13,1168,272,0,0,793
8/8/2020,1988,5494,2.4,1134,306,0,0,842
8/9/2020,2043,6912,3.02,1110,330,0,0,929
8/10/2020,1669,2973,1.3,1298,142,0,0,395
8/11/2020,2391,17007,7.39,1059,329,40,12,1340
8/12/2020,2235,14171,6.19,1120,292,27,1,1125
8/13/2020,1936,6338,2.77,1171,269,0,0,771
8/14/2020,2483,16459,7.19,1030,356,51,3,1452
8/15/2020,2290,14124,6.17,863,276,54,9,1198
8/16/2020,1801,3183,1.39,1254,176,10,0,561
8/17/2020,2475,6845,2.99,1004,390,22,24,1472
8/18/2020,2423,14515,6.33,1047,311,75,7,1372
8/19/2020,1963,7224,3.16,1172,268,0,0,809
8/20/2020,2333,14478,6.33,1059,314,67,0,1280
8/21/2020,1853,4684,2.05,1202,238,0,0,664
8/22/2020,1930,5141,2.25,1173,267,0,0,739
8/23/2020,1902,4910,2.15,1200,240,0,0,699
8/24/2020,2318,12787,5.59,1100,261,63,16,1218
8/25/2020,1869,4062,1.77,1190,250,0,0,668
8/26/2020,2385,12917,5.64,1052,360,23,5,1332
8/27/2020,2270,9192,4.02,1031,409,0,0,1245
8/28/2020,2125,7487,3.27,1120,320,0,0,1005
8/29/2020,2858,15551,6.79,944,361,81,54,1903
8/30/2020,2119,9319,4.07,1122,303,15,0,983
8/31/2020,1936,5469,2.39,1173,267,0,0,766
9/1/2020,2050,5387,2.32,1142,283,12,3,901
9/2/2020,2135,8330,3.64,1160,237,24,19,957
9/3/2020,2259,8110,3.54,1089,301,29,21,1176
9/4/2020,2059,7320,3.2,1183,230,11,16,864
9/5/2020,2448,12792,5.59,1053,297,69,21,1376
9/6/2020,2173,8974,3.92,1087,334,16,3,1076
9/7/2020,2003,7348,3.21,1145,295,0,0,865
9/8/2020,2128,7728,3.38,1124,289,15,12,1013
9/9/2020,2263,9082,3.97,1119,260,27,34,1142
9/10/2020,2172,9700,4.32,1161,218,33,28,1012
9/11/2020,2126,9326,4.07,1131,283,19,7,982
9/12/2020,1967,6231,2.66,1178,262,0,0,782
9/13/2020,2115,7898,3.45,1116,324,0,0,997
9/14/2020,1792,3906,1.59,1238,202,0,0,569
9/15/2020,2429,5427,2.37,1075,306,41,18,1310
9/16/2020,1809,3178,1.39,1249,176,11,4,578
9/17/2020,2414,10008,4.37,1080,267,54,39,1327
9/18/2020,1955,7615,3.33,1184,245,11,0,778
9/19/2020,2069,6018,2.63,1100,340,0,0,965
9/20/2020,2179,7486,3.2,1123,290,15,12,1056
9/21/2020,2044,8842,3.86,1197,221,9,13,851
9/22/2020,2310,8497,3.68,599,314,27,17,1202
9/23/2020,2332,10869,4.75,606,257,35,33,1217
9/24/2020,2080,8407,3.67,652,268,15,8,924
9/25/2020,1993,8729,3.97,713,219,2,11,798
9/26/2020,2063,7199,3.11,663,305,0,0,923
9/27/2020,2098,5938,2.55,663,236,25,20,954
9/28/2020,1937,5506,2.41,767,197,12,9,702
9/29/2020,2407,8768,3.83,627,295,32,39,1310
9/30/2020,2029,9491,4.15,668,189,40,11,840
10/1/2020,2130,8442,3.67,1120,286,26,8,1015
10/2/2020,2138,9349,3.82,668,278,27,7,1019
10/3/2020,2922,12348,5.23,1029,280,67,64,1892
10/4/2020,2336,7196,2.96,669,282,46,1,1113
10/5/2020,2178,8788,3.84,682,248,36,12,1028
10/6/2020,2091,7224,3.16,635,265,27,9,948
10/7/2020,1960,7334,3.2,1247,131,38,24,726
10/8/2020,2564,10405,4.34,625,234,21,50,1431
10/9/2020,2161,6825,2.98,698,223,15,16,842
10/10/2020,2385,6881,3.01,664,280,2,40,1268
10/11/2020,2330,10641,4.65,604,297,32,29,1247
10/12/2020,2063,8462,3.72,709,227,14,13,877
10/13/2020,2393,4820,1.87,670,231,1,36,1220
10/14/2020,2002,7240,3.16,1215,177,32,16,801
10/15/2020,2096,7494,3.25,631,225,58,14,949
10/16/2020,2093,10385,4.64,669,255,6,17,927
10/17/2020,2363,12288,5.27,590,393,14,4,1325
10/18/2020,2014.00,7208.00,3.15,674.00,242.00,20.00,7.00,835.00
10/19/2020,1918.00,5890.00,2.53,736.00,191.00,15.00,12.00,697.00
10/20/2020,2276.00,10708.00,4.70,1111.00,278.00,28.00,23.00,1152.00
10/21/2020,2806.00,17099.00,7.54,526.00,259.00,75.00,84.00,1783.00
10/22/2020,2287.00,8283.00,3.71,582.00,277.00,14.00,52.00,1188.00
10/23/2020,2069.00,8693.00,3.80,624.00,292.00,17.00,4.00,952.00
10/24/2020,2142.00,11080.00,4.65,632.00,307.00,14.00,8.00,1037.00
10/25/2020,2201.00,12885.00,5.62,592.00,322.00,13.00,5.00,1114.00
10/26/2020,2177.00,8082.00,3.53,1171.00,222.00,13.00,34.00,1018.00
10/27/2020,2047.00,5087.00,2.22,960.00,203.00,8.00,35.00,862.00
10/28/2020,2363.00,11910.00,5.23,780.00,260.00,38.00,43.00,1274.00
10/29/2020,2056.00,9258.00,3.95,655.00,287.00,9.00,0.00,919.00
10/30/2020,1926.00,6992.00,3.05,757.00,204.00,10.00,15.00,718.00
10/31/2020,2194.00,12495.00,5.46,665.00,270.00,15.00,38.00,1090.00
